Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
KEYWORDS FOR MATERIAL TESTING MACHINES,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,BY BASICS,,,,,,,,,,,,,
1,UNIVERSAL TESTER,,,,,,,,,,,,,
2,UNIVERSAL TESTING MACHINE,,,,,,,BY  TESTS / ACCESSORIES / ATTACHMENT,,,,,,
3,UTM,,,,,,32.0,COMPRESSION TESTING MACHINES,,,,,62.0,DIGITAL EXTENSOMETER
4,ANALOGUE UNIVERSAL TESTING MACHINES,,,,,,33.0,CTM,,,,,63.0,DIGITAL EXTN
5,ANALOGUE UTM,,,,,,34.0,COMPUTERISED CTM,,,,,64.0,COMPUTERISED EXTENSOMETER
6,DIGITAL UNIVERSAL TESTING MACHINES,,,,,,35.0,COMPUTERISED COMPRESSION TESTING MACHIINE,,,,,65.0,0.2% PROOF LOAD 
7,DIGITAL UTM,,,,,,36.0,SHEAR TESTING MACHINE,,,,,66.0,0.4% PROOF LOAD
8,COMPUTERISED UNIVERSAL TESTING MACHINES,,,,,,37.0,SMALL DOUBLE SHEAR TESTING MACHINE,,,,,67.0,1.0% ELONGATION
9,COMPUTERISED UTM,,,,,,38.0,BIG SHEAR TESTING MACHINE,,,,,68.0,% ELONGATION
10,TENSILE TESTING MACHINE,,,,,,39.0,PULL OUT TESTING MACHINE,,,,,69.0,TENSOMETER
11,TTM,,,,,,40.0,PULL OUT TESTER,,,,,70.0,ELASTIC TENSOMETER
12,ANALOGUE TENSILE TESTING MACHINE,,,,,,41.0,PEEL OUT TESTER ,,,,,71.0,STRESS TESTING MACHINE
13,ANALOGUE TENSILE TESTER,,,,,,42.0,PULL OFF TESTER,,,,,72.0,STRAIN TESTING MACHINE
14,ANALOGUE TTM,,,,,,43.0,BEND TESTER,,,,,,
15,DIGITAL TENSILE TESTING MACHINE,,,,,,44.0,BEND TESTING MACHINE ,,,,,,
16,DIGITAL TTM,,,,,,45.0,BEND TEST ATTACHMENTS,,,,,,
17,COMPUTERISED TENSILE TESTING MACHINE,,,,,,46.0,BEND REBEND TESTING MACHINE,,,,,,
18,COMPUTERISED TTM,,,,,,47.0,BEND REBEND TESTER,,,,,,
19,SERVO UTM ,,,,,,48.0,TMT BEND TESTING MACHINE,,,,,,
20,SERVO UNIVERSAL TESTING MACHINES,,,,,,49.0,TMT BEND TESTER,,,,,,
21,COMPUTER CONTROLLED UNIVERSAL TESTING MACHINE,,,,,,50.0,TMT BEND REBEND TESTER,,,,,,
22,CCUTM,,,,,,51.0,TMT BEND REBEND TESTING MACHINES,,,,,,
23,COMPUTER CONTROLLED UTM,,,,,,52.0,TORSTEEL BEND REBEND TESTER,,,,,,
24,SERVO COMPUTER CONTROLLED  UNIVERSAL TESTING MACHINES,,,,,,53.0,TORSTEEL BEND TESTING MACHINES,,,,,,
