id,title,category,subcategory,description,capacity,accuracy,standards,power,warranty,display,control,resolution,scale,price_hint,image
FG-206D4C4E,Analogue Universal Testing Machine,Universal Testing Machine,Analogue,"Analogue Universal Testing Machine - Capacities 100â€“2000 kN; loading accuracy Â±1%; tests: tension, compression, transverse; autographic recorder; conforms to IS:1828 / BS:1610...",2000 kN,±1%,IS:1828|BS:1610,220V AC,2 years,Analog,Manual,0.01%,Force/Extension,Request a quote,/images/placeholder.svg
FG-E52F84B6,Computerised Universal Testing Machine,Universal Testing Machine,Computerised,"Computerised Universal Testing Machine - Auto data capture, storage & graphs; online load & extension; printer output; overload/over-travel auto stop; load resolution 0.01% capacity...",Various,±1%,IS:1828|BS:1610,220V AC,2 years,Touch Screen,Computerised,0.01%,Force/Extension,Request a quote,/images/placeholder.svg
FG-5D9C851C,Analogue cum Computerised Universal Testing Machine,Universal Testing Machine,Analogue + Computerised,Analogue cum Computerised Universal Testing Machine - Dual panel with DC valve to select analogue or computerised; capacities 100â€“2000 kN; loading accuracy Â±1%...,2000 kN,±1%,IS:1828|BS:1610,220V AC,2 years,Analog,Computerised,0.01%,Load/Displacement,Request a quote,/images/placeholder.svg
FG-AD4C495A,Universal Testing Machine 2000 kN,Universal Testing Machine,Computerised & Analogue versions,Universal Testing Machine 2000 kN - 2000 kN capacity; neck breaking height; bars up to Ã˜50â€“60 mm; middle crosshead speed 300 mm/min; increased jaw rigidity...,2000 kN,±1%,IS:1828|BS:1610,220V AC,2 years,Analog,Computerised,0.01%,Load/Displacement,Request a quote,/images/placeholder.svg
FG-ECEBE9D6,Servo Computerized Universal Testing Machine,Universal Testing Machine,Servo Computerised (Load & Strain rate control),Servo Computerized Universal Testing Machine - Closed-loop PID with imported valves; selectable load/strain rates via PC; 32-bit microcontroller DAS; load accuracy Â±1% (2â€“100% range); capacities 100â€“2000 kN...,2000 kN,±1%,IS:1828|BS:1610,"220V AC, 3-phase",2 years,Touch Screen,Closed-loop Servo,0.01%,Load/Displacement,Request a quote,/images/placeholder.svg
FG-1A681B26,Servo Computerized UTM with Front-Open Crossheads & Hydraulic Grips,Universal Testing Machine,Servo Computerised (front-open + hydraulic grips),Servo Computerized UTM with Front-Open Crossheads & Hydraulic Grips - Front opening crosshead; hydraulic gripping; Â±0.5% accuracy (2â€“100%); capacities 400â€“2000 kN...,2000 kN,±0.5%,IS:1828|BS:1610,"220V AC, 3-phase",2 years,Touch Screen,Closed-loop Servo,0.01%,Load/Displacement,Request a quote,/images/placeholder.svg
FG-53FC9762,"Servo Computerized UTM 1200 kN (Front-open, Hydraulic Grips)",Universal Testing Machine,Servo Computerised,"Servo Computerized UTM 1200 kN (Front-open, Hydraulic Grips) - 1200 kN; designed for flat & round samples; tests TMT bars up to Ã˜42 mm; Â±0.5% accuracy (2â€“100%)...",1200 kN,±0.5%,IS:1828|BS:1610,"220V AC, 3-phase",2 years,Touch Screen,Closed-loop Servo,0.01%,Load/Displacement,Request a quote,/images/placeholder.svg
FG-5B777DA8,Compression Testing Machine,Compression Tester,"Analogue, Digital & Computerised",Compression Testing Machine - Capacities 100â€“3000 kN; wide range of accessories; loading accuracy Â±1%...,3000 kN,±1%,IS:1828|BS:1610,220V AC,2 years,Analog,Computerised,0.01%,Load/Displacement,Request a quote,/images/placeholder.svg
FG-D21E5C8C,Digital Hand-Operated Coil Spring Tester,Spring Tester,"Digital, Hand-operated","Digital Hand-Operated Coil Spring Tester - Load by load cell, displacement by rotary encoder; LCD; load res. 10,000 counts (20,000 optional); disp. res. 0.01 mm; daylight 300 mm; capacities 100â€“2000 N...",Various,±1%,IS:1828|BS:1610,220V AC,2 years,Digital,Digital,0.01%,Load/Displacement,Request a quote,/images/placeholder.svg
FG-4A60D05F,Leaf Spring Testing Machine,Spring Tester,"Analogue, Digital & Computerised",Leaf Spring Testing Machine - For leaf/laminated springs per IS:1135-1984; motorized height adjust; autographic recorder; overload/over-travel protection; capacities 100â€“500 kN...,500 kN,±1%,IS:1135-1984|IS:1828|BS:1610,220V AC,2 years,Analog,Computerised,0.01%,Load/Displacement,Request a quote,/images/placeholder.svg
FG-1CF0381A,Computer Controlled Ball-Screw UTM,Universal Testing Machine,"Computer Controlled, Ball-screw",Computer Controlled Ball-Screw UTM - AC servo crosshead; variable speed; electronic safety; load cell measurement; capacities 1â€“100 kN; load res. up to 500k counts (optional)...,100 kN,±1%,IS:1828|BS:1610,220V AC,2 years,Digital,Manual,0.01%,Load/Displacement,Request a quote,/images/placeholder.svg
FG-3D768DEB,Horizontal Chain & Rope Testing Machine,Chain/Rope Tester,Analogue & Computerised,Horizontal Chain & Rope Testing Machine - Proof & tensile tests for chains/ropes; capacities 100â€“3000 kN; fork & pin ends; loading accuracy Â±1% (5â€“100%)...,3000 kN,±1%,IS:1828|BS:1610,220V AC,2 years,Analog,Computerised,0.01%,Load/Displacement,Request a quote,/images/placeholder.svg
FG-716DCB7D,Micro Vickers Hardness Tester,Hardness Tester,Micro Vickers,Micro Vickers Hardness Tester - Test loads 10â€“1000 g; magnifications 125X/250X/625X; X-Y stage LC 0.01 mm; max height Ã— throat 115 Ã— 70 mm; load accuracy Â±1%...,Various,±1%,IS:1754,220V AC,2 years,Digital,Manual,0.01%,Load/Displacement,Request a quote,/images/placeholder.svg
FG-A3F378C8,Automatic Optical Brinell Hardness Tester,Hardness Tester,Automatic Optical,Automatic Optical Brinell Hardness Tester - C-type frame; cycle ~12 s; loads 750 & 3000 kgf (500/1000 optional); 14X optics; test height Ã— throat 365 Ã— 200 mm; table 260 Ã— 400 mm; 200 kg capacity...,Various,±1%,IS:2281-2005|BS:240,220V AC,2 years,Digital,Manual,0.01%,Load/Displacement,Request a quote,/images/placeholder.svg
FG-0EEA730C,Computerised Automatic Optical Brinell,Hardness Tester,Computerised Optical,Computerised Automatic Optical Brinell - CCD camera + image processing; 16X; manual/auto modes; batch testing; stats; calibration mode; heavy-duty variant available...,Various,±1%,IS:2281-2005|BS:240,220V AC,2 years,Touch Screen,Computerised,0.01%,Load/Displacement,Request a quote,/images/placeholder.svg
FG-C4BBD349,Deep Throat Brinell with Movable Table,Hardness Tester,Semi-automatic Brinell,Deep Throat Brinell with Movable Table - Deep throat 400 mm; height 600 mm; loads 750 & 3000 kgf (500/1000 optional); movable table 1100Ã—600 mm with rollers; 700 kg load...,Various,±1%,IS:2281-2005|BS:240,220V AC,2 years,Digital,Manual,0.01%,Load/Displacement,Request a quote,/images/placeholder.svg
FG-4991AE78,Deep Throat Brinell with Fixed Table,Hardness Tester,Semi-automatic Brinell,Deep Throat Brinell with Fixed Table - Fixed table 1200Ã—600 mm; table load 1200â€“1500 kg; ram stroke 300 mm; upward 930 mm/min; loads 750 & 3000 kgf...,Various,±1%,IS:2281-2005|BS:240,220V AC,2 years,Digital,Manual,0.01%,Load/Displacement,Request a quote,/images/placeholder.svg
FG-BAA74258,Bend & Re-bend Tester,Rebar / Bend Tester,Hydraulic,"Bend & Re-bend Tester - For carbon steel bars up to Ã˜42 mm; support rollers Ã˜100 mm, 400 mm span; includes 180Â° re-bend; safety doors...",Various,±1%,BS:4449|IS:1786|ASTM:A615,220V AC,2 years,Digital,Manual,0.01%,Load/Displacement,Request a quote,/images/placeholder.svg
FG-95B39371,Drop Weight Impact Tester,Impact Tester,Drop Weight,"Drop Weight Impact Tester - Energies 350â€“1650 J; weight 136 kg; max fall 1237 mm; motorized lift 0.9 m/min; striker tip R25.4 mm, â‰¥50 HRC...",Various,±1%,ASTM E208,220V AC,2 years,Digital,Manual,0.01%,Load/Displacement,Request a quote,/images/placeholder.svg
FG-BE2B6EE2,Mechanical Extensometer,Extensometer,Mechanical,Mechanical Extensometer - Gauge length 30â€“120 mm; LC 0.01 mm; max elongation 3 mm; round Ã˜1â€“20 mm; flat 1â€“20 mm...,Various,±1%,,220V AC,2 years,Digital,Manual,0.01%,Load/Displacement,Request a quote,/images/placeholder.svg
FG-548AAC04,Analogue Tensile Testing Machine,Tensile Tester,Analogue,Analogue Tensile Testing Machine - Capacities 200 Nâ€“50 kN; multi-speed; elongation scale LC 1 mm; autographic recorder; Â±1% accuracy...,50 kN,±1%,IS:1828|BS:1610,220V AC,2 years,Analog,Manual,0.01%,Load/Displacement,Request a quote,/images/placeholder.svg
